(1995-06-25,1995-07-02,316)
(1995-06-26,1995-07-03,612)
(1995-06-27,1995-07-04,1141)
(1995-06-28,1995-07-05,1504)
(1995-06-29,1995-07-06,2004)
(1995-06-30,1995-07-07,2649)
(1995-07-01,1995-07-08,3221)
(1995-07-02,1995-07-09,3207)
(1995-07-03,1995-07-10,3259)
(1995-07-04,1995-07-11,3130)
(1995-07-05,1995-07-12,3238)
(1995-07-06,1995-07-13,3212)
(1995-07-07,1995-07-14,3101)
(1995-07-08,1995-07-15,2945)
(1995-07-09,1995-07-16,2897)
(1995-07-10,1995-07-17,2806)
(1995-07-11,1995-07-18,2814)
(1995-07-12,1995-07-19,2827)
(1995-07-13,1995-07-20,2994)
(1995-07-14,1995-07-21,2891)
(1995-07-15,1995-07-22,2809)
(1995-07-16,1995-07-23,2749)
(1995-07-17,1995-07-24,2725)
(1995-07-18,1995-07-25,2652)
(1995-07-19,1995-07-26,2636)
(1995-07-20,1995-07-27,2335)
(1995-07-21,1995-07-28,2245)
(1995-07-22,1995-07-29,2005)
(1995-07-23,1995-07-30,1811)
(1995-07-24,1995-07-31,1578)
(1995-07-25,1995-08-01,1243)
(1995-07-26,1995-08-02,1019)
(1995-07-27,1995-08-03,679)
(1995-07-28,1995-08-04,642)
(1995-07-29,1995-08-05,895)
(1995-07-30,1995-08-06,1133)
(1995-07-31,1995-08-07,1507)
(1995-08-01,1995-08-08,2046)
(1995-08-02,1995-08-09,2207)
(1995-08-03,1995-08-10,2488)
(1995-08-04,1995-08-11,2502)
(1995-08-05,1995-08-12,2429)
(1995-08-06,1995-08-13,2389)
(1995-08-07,1995-08-14,2231)
(1995-08-08,1995-08-15,1995)
(1995-08-09,1995-08-16,1917)
(1995-08-10,1995-08-17,1897)
(1995-08-11,1995-08-18,1850)
(1995-08-12,1995-08-19,1834)
(1995-08-13,1995-08-20,1846)
(1995-08-14,1995-08-21,1950)
(1995-08-15,1995-08-22,1952)
(1995-08-16,1995-08-23,1927)
(1995-08-17,1995-08-24,2011)
(1995-08-18,1995-08-25,2162)
(1995-08-19,1995-08-26,2348)
(1995-08-20,1995-08-27,2512)
(1995-08-21,1995-08-28,2609)
(1995-08-22,1995-08-29,2715)
(1995-08-23,1995-08-30,2847)
(1995-08-24,1995-08-31,3097)
(1995-08-25,1995-09-01,3205)
(1995-08-26,1995-09-02,2761)
(1995-08-27,1995-09-03,2387)
(1995-08-28,1995-09-04,1970)
(1995-08-29,1995-09-05,1559)
(1995-08-30,1995-09-06,1125)
(1995-08-31,1995-09-07,530)
